31
28
05 01 01 01 01 01 01 01 01 01 01 01 01 16 15 01 01 01 01 01 01 01 01 01 01 01 01 06
02 51 51 51 51 51 51 51 51 51 51 51 51 30 30 51 51 51 51 51 51 51 51 51 51 51 51 03
02 51 25 31 31 26 51 25 31 31 31 26 51 30 30 51 25 31 31 31 26 51 25 31 31 26 51 03
02 52 30 00 00 30 51 30 00 00 00 30 51 30 30 51 30 00 00 00 30 51 30 00 00 30 52 03
02 51 27 31 31 28 51 27 31 31 31 28 51 27 28 51 27 31 31 31 28 51 27 31 31 28 51 03
02 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 03
02 51 25 31 31 26 51 25 26 51 25 31 31 31 31 31 31 26 51 25 26 51 25 31 31 26 51 03
02 51 27 31 31 28 51 30 30 51 27 31 31 26 25 31 31 28 51 30 30 51 27 31 31 28 51 03
02 51 51 51 51 51 51 30 30 51 51 51 51 30 30 51 51 51 51 30 30 51 51 51 51 51 51 03
07 04 04 04 04 11 51 30 27 31 31 26 50 30 30 50 25 31 31 28 30 51 10 04 04 04 04 08
00 00 00 00 00 02 51 30 25 31 31 28 50 27 28 50 27 31 31 26 30 51 03 00 00 00 00 00
00 00 00 00 00 02 51 30 30 50 50 50 50 50 50 50 50 50 50 30 30 51 03 00 00 00 00 00
00 00 00 00 00 02 51 30 30 50 00 00 00 00 00 00 00 00 50 30 30 51 03 00 00 00 00 00
01 01 01 01 01 13 51 27 28 50 00 00 00 00 00 00 00 00 50 27 28 51 12 01 01 01 01 01
50 50 50 50 50 50 51 50 50 50 00 00 00 00 00 00 00 00 50 50 50 51 50 50 50 50 50 50
04 04 04 04 04 11 51 25 26 50 00 00 00 00 00 00 00 00 50 25 26 51 10 04 04 04 04 04
00 00 00 00 00 02 51 30 30 50 00 00 00 00 00 00 00 00 50 30 30 51 03 00 00 00 00 00
00 00 00 00 00 02 51 30 30 50 50 50 50 50 50 50 50 50 50 30 30 51 03 00 00 00 00 00
00 00 00 00 00 02 51 30 30 50 25 31 31 31 31 31 31 26 50 30 30 51 03 00 00 00 00 00
05 01 01 01 01 13 51 27 28 50 27 31 31 26 25 31 31 28 50 27 28 51 12 01 01 01 01 06
02 51 51 51 51 51 51 51 51 51 51 51 51 30 30 51 51 51 51 51 51 51 51 51 51 51 51 03
02 51 25 31 31 26 51 25 31 31 31 26 51 30 30 51 25 31 31 31 26 51 25 31 31 26 51 03
02 51 27 31 26 30 51 27 31 31 31 28 51 27 28 51 27 31 31 31 28 51 30 25 31 28 51 03
02 52 51 51 30 30 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 30 30 51 51 52 03
22 31 26 51 30 30 51 25 26 51 25 31 31 31 31 31 31 26 51 25 26 51 30 30 51 25 31 23
20 31 28 51 27 28 51 30 30 51 27 31 31 26 25 31 31 28 51 30 30 51 27 28 51 27 31 21
02 51 51 51 51 51 51 30 30 51 51 51 51 30 30 51 51 51 51 30 30 51 51 51 51 51 51 03
02 51 25 31 31 31 31 28 27 31 31 26 51 30 30 51 25 31 31 28 27 31 31 31 31 26 51 03
02 51 27 31 31 31 31 31 31 31 31 28 51 27 28 51 27 31 31 31 31 31 31 31 31 28 51 03
02 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 03
07 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 08
